北京爱数智慧语音采集我们聊的第一个话题是娱乐  (G0004_S0001_0_SPK001-26.048-31.870.wav)
 different  (G0004_S0001_0_SPK007-795.727-796.810.wav)
嗯 progress  (G0004_S0001_0_SPK007-797.510-798.700.wav)
啊 different  (G0004_S0001_0_SPK007-805.880-807.520.wav)
啊 e s  (G0004_S0001_0_SPK007-808.040-808.930.wav)
嗯除了四川 progress  (G0004_S0001_0_SPK007-810.080-813.250.wav)
嗯 where do you  (G0004_S0001_0_SPK007-813.500-815.470.wav)
嗯 going  (G0004_S0001_0_SPK007-816.043-817.480.wav)
嗯  (G0004_S0001_0_SPK007-829.550-830.560.wav)
嗯 for example重庆  (G0004_S0001_0_SPK007-831.770-834.130.wav)
嗯  (G0004_S0001_0_SPK007-844.288-845.281.wav)
 i going  (G0004_S0001_0_SPK007-845.748-847.150.wav)
 i going to  (G0004_S0001_0_SPK007-847.527-848.511.wav)
嗯重庆那边有就是  (G0004_S0001_0_SPK007-849.020-853.810.wav)
有那个  (G0004_S0001_0_SPK007-854.636-855.520.wav)
那个叫啥  (G0004_S0001_0_SPK007-856.157-857.380.wav)
嗯  (G0004_S0001_0_SPK007-858.740-859.660.wav)
 i  (G0004_S0001_0_SPK007-861.080-861.700.wav)
对对对 right嗯  (G0004_S0001_0_SPK007-862.370-864.791.wav)
 her perhaps long times i don't remember  (G0004_S0001_0_SPK007-865.160-869.260.wav)
嗯  (G0004_S0001_0_SPK007-874.178-874.810.wav)
嗯  (G0004_S0001_0_SPK007-875.148-875.602.wav)
是的这些地方都是比较 famous  (G0004_S0001_0_SPK007-876.320-880.000.wav)
然后就比也比较就是接地起  (G0004_S0001_0_SPK007-881.690-884.800.wav)
嗯  (G0004_S0001_0_SPK007-887.090-887.920.wav)
对 right  (G0004_S0001_0_SPK007-888.770-890.293.wav)
呃然后他们那边的 language贵机也是四川  (G0004_S0001_0_SPK007-892.610-897.250.wav)
四川  (G0004_S0001_0_SPK007-897.530-898.840.wav)
嗯  (G0004_S0001_0_SPK007-900.110-900.880.wav)
 language  (G0004_S0001_0_SPK007-901.218-901.978.wav)
啊 yes  (G0004_S0001_0_SPK007-906.107-906.910.wav)
呃 for exampleber重te ruoders  (G0004_S0001_0_SPK007-907.490-910.630.wav)
哦 u c  (G0004_S0001_0_SPK007-913.730-914.710.wav)
 you do呃 do you can you sit  (G0004_S0001_0_SPK007-915.140-916.990.wav)
呃 do you fit  (G0004_S0001_0_SPK007-917.810-918.700.wav)
 readers  (G0004_S0001_0_SPK007-922.076-922.810.wav)
啊重庆  (G0004_S0001_0_SPK007-927.897-929.471.wav)
 readers for example  (G0004_S0001_0_SPK007-929.727-931.381.wav)
 are over  (G0004_S0001_0_SPK007-933.590-935.050.wav)
 our  (G0004_S0001_0_SPK007-935.480-936.610.wav)
 some  (G0004_S0001_0_SPK007-937.337-938.530.wav)
富嗯  (G0004_S0001_0_SPK007-939.530-940.900.wav)
 some food  (G0004_S0001_0_SPK007-943.280-944.470.wav)
然后其实  (G0004_S0001_0_SPK007-945.620-947.553.wav)
最著名的应该是他们那个重庆的  (G0004_S0001_0_SPK007-948.087-952.101.wav)
嗯河 gra  (G0004_S0001_0_SPK007-952.730-953.800.wav)
哦 yes yes  (G0004_S0001_0_SPK007-954.980-956.170.wav)
啊 yes啊我们  (G0004_S0001_0_SPK007-965.297-966.871.wav)
哦  (G0004_S0001_0_SPK007-967.467-968.211.wav)
哦 with friend each  (G0004_S0001_0_SPK007-969.357-971.530.wav)
 it hot  (G0004_S0001_0_SPK007-972.020-973.450.wav)
炮  (G0004_S0001_0_SPK007-974.487-975.105.wav)
哦 through  (G0004_S0001_0_SPK007-978.818-979.930.wav)
除了这些然后  (G0004_S0001_0_SPK007-980.390-982.210.wav)
嗯你去过  (G0004_S0001_0_SPK007-982.567-984.431.wav)
呃云南 progress  (G0004_S0001_0_SPK007-985.700-987.340.wav)
嗯  (G0004_S0001_0_SPK007-1012.048-1012.837.wav)
嗯 no我没有  (G0004_S0001_0_SPK007-1013.397-1015.390.wav)
嗯就是 i heard一些 a sun friend  (G0004_S0001_0_SPK007-1015.642-1021.581.wav)
嗯  (G0004_S0001_0_SPK007-1022.477-1022.980.wav)
去过  (G0004_S0001_0_SPK007-1023.260-1024.122.wav)
嗯听说那边还是  (G0004_S0001_0_SPK007-1024.665-1026.795.wav)
 next secret  (G0004_S0001_0_SPK007-1027.910-1030.000.wav)
啊比如就是有那个昆明 city  (G0004_S0001_0_SPK007-1032.727-1036.855.wav)
啊或呃大理  (G0004_S0001_0_SPK007-1037.808-1040.079.wav)
呃丽江  (G0004_S0001_0_SPK007-1040.497-1042.540.wav)
呃 yes yes有许多  (G0004_S0001_0_SPK007-1043.925-1046.471.wav)
嗯 elephant  (G0004_S0001_0_SPK007-1047.230-1048.840.wav)
嗯就  (G0004_S0001_0_SPK007-1049.630-1050.763.wav)
还有 arrive rubb  (G0004_S0001_0_SPK007-1052.387-1054.857.wav)
就有很多  (G0004_S0001_0_SPK007-1057.638-1058.831.wav)
哦  (G0004_S0001_0_SPK007-1083.787-1084.612.wav)
 i a remember going to  (G0004_S0001_0_SPK007-1085.448-1089.401.wav)
 stay嗯 yes  (G0004_S0001_0_SPK007-1089.792-1091.560.wav)
嗯 yes  (G0004_S0001_0_SPK007-1095.056-1095.940.wav)
嗯 yes in  (G0004_S0001_0_SPK007-1118.156-1119.362.wav)
嗯 yes因为是你们 slown的时候去的  (G0004_S0001_0_SPK007-1127.749-1133.046.wav)
然后  (G0004_S0001_0_SPK007-1133.417-1134.191.wav)
啊 mountain time  (G0004_S0001_0_SPK007-1134.527-1135.900.wav)
嗯是  (G0004_S0001_0_SPK007-1136.209-1137.452.wav)
嗯 china famous  (G0004_S0001_0_SPK007-1139.177-1141.180.wav)
呃 mountain  (G0004_S0001_0_SPK007-1142.360-1143.910.wav)
然后他的  (G0004_S0001_0_SPK007-1145.407-1146.400.wav)
然后 mountain丁开的海拔还是比较高的所以你们去的时候  (G0004_S0001_0_SPK007-1146.837-1151.563.wav)
嗯就离那个  (G0004_S0001_0_SPK007-1152.328-1154.221.wav)
 close the eyes比较近  (G0004_S0001_0_SPK007-1154.438-1157.260.wav)
所以就  (G0004_S0001_0_SPK007-1158.005-1159.090.wav)
就比平常在史外的这种  (G0004_S0001_0_SPK007-1159.657-1162.932.wav)
呃 every every moment  (G0004_S0001_0_SPK007-1163.707-1165.782.wav)
嗯要低的多  (G0004_S0001_0_SPK007-1168.310-1169.950.wav)
嗯对 right  (G0004_S0001_0_SPK007-1186.547-1188.370.wav)
哦  (G0004_S0001_0_SPK007-1200.456-1201.300.wav)
哦  (G0004_S0001_0_SPK007-1201.820-1202.671.wav)
哦  (G0004_S0001_0_SPK007-1232.930-1233.880.wav)
嗯 yes  (G0004_S0001_0_SPK007-1240.657-1242.031.wav)
嗯 her heard when very beautiful  (G0004_S0001_0_SPK007-1242.357-1247.085.wav)
然后都是一  (G0004_S0001_0_SPK007-1247.536-1248.813.wav)
就是那种  (G0004_S0001_0_SPK007-1249.218-1250.193.wav)
嗯 white  (G0004_S0001_0_SPK007-1250.507-1252.062.wav)
嗯 pictures  (G0004_S0001_0_SPK007-1253.066-1254.340.wav)
嗯 yes  (G0004_S0001_0_SPK007-1258.160-1259.514.wav)
哦 i said remember  (G0004_S0001_0_SPK007-1261.346-1264.456.wav)
嗯 with work workers去过嗯那个叫  (G0004_S0001_0_SPK007-1265.178-1271.242.wav)
哦西林西林 slown mountain  (G0004_S0001_0_SPK007-1272.256-1276.420.wav)
呃读呃不知道  (G0004_S0001_0_SPK007-1278.486-1280.312.wav)
 yes yes  (G0004_S0001_0_SPK007-1280.636-1281.760.wav)
啊不知道就是你们由  (G0004_S0001_0_SPK007-1282.387-1284.760.wav)
 can going  (G0004_S0001_0_SPK007-1285.417-1286.930.wav)
哦就是  (G0004_S0001_0_SPK007-1303.346-1305.062.wav)
没有许多 times  (G0004_S0001_0_SPK007-1305.416-1308.020.wav)
啊  (G0004_S0001_0_SPK007-1315.836-1316.513.wav)
 she林 slown mountain  (G0004_S0001_0_SPK007-1316.808-1319.170.wav)
就就是它它分为两个就是  (G0004_S0001_0_SPK007-1319.386-1322.933.wav)
嗯上面他要坐两次缆车就是  (G0004_S0001_0_SPK007-1323.427-1326.393.wav)
第一次的时候坐缆车差不多到了那个  (G0004_S0001_0_SPK007-1326.667-1330.300.wav)
半山 mountain  (G0004_S0001_0_SPK007-1330.676-1332.544.wav)
然后再做嗯就是半山的时候它会有一些  (G0004_S0001_0_SPK007-1333.056-1337.050.wav)
嗯 slow  (G0004_S0001_0_SPK007-1337.597-1339.090.wav)
就是项目然后比如就是那个滑雪的  (G0004_S0001_0_SPK007-1339.486-1343.902.wav)
就会有许多  (G0004_S0001_0_SPK007-1344.426-1345.991.wav)
嗯 child  (G0004_S0001_0_SPK007-1346.708-1347.850.wav)
嗯因为他们比较喜拆的比较喜欢  (G0004_S0001_0_SPK007-1348.426-1351.810.wav)
然后做第二  (G0004_S0001_0_SPK007-1352.240-1354.272.wav)
到两车的时候就到那个西林  (G0004_S0001_0_SPK007-1354.877-1358.820.wav)
 slow  (G0004_S0001_0_SPK007-1359.410-1360.450.wav)
 mountain的嗯最高点  (G0004_S0001_0_SPK007-1360.916-1363.491.wav)
然后嗯那边就是  (G0004_S0001_0_SPK007-1364.238-1367.171.wav)
嗯因为是冬天然后它  (G0004_S0001_0_SPK007-1368.290-1371.370.wav)
都有很有很多  (G0004_S0001_0_SPK007-1371.966-1373.523.wav)
雪然后就白妈妈的一片然后可以看到  (G0004_S0001_0_SPK007-1373.838-1377.832.wav)
嗯  (G0004_S0001_0_SPK007-1378.867-1379.680.wav)
它的那个  (G0004_S0001_0_SPK007-1382.317-1383.550.wav)
嗯对  (G0004_S0001_0_SPK007-1386.320-1387.180.wav)
对然后  (G0004_S0001_0_SPK007-1388.120-1389.190.wav)
对 right  (G0004_S0001_0_SPK007-1389.500-1390.869.wav)
然后他有那种  (G0004_S0001_0_SPK007-1391.420-1393.600.wav)
嗯琳达效应  (G0004_S0001_0_SPK007-1393.927-1395.820.wav)
就是  (G0004_S0001_0_SPK007-1396.968-1397.920.wav)
有那种  (G0004_S0001_0_SPK007-1398.740-1399.810.wav)
对 sun sun  (G0004_S0001_0_SPK007-1400.390-1402.130.wav)
 sun sun  (G0004_S0001_0_SPK007-1402.610-1404.435.wav)
然后  (G0004_S0001_0_SPK007-1405.760-1406.373.wav)
然后其实那天的天气还是比较不错的  (G0004_S0001_0_SPK007-1407.607-1412.290.wav)
不过也是就是 climb  (G0004_S0001_0_SPK007-1413.830-1417.184.wav)
很久  (G0004_S0001_0_SPK007-1417.790-1418.680.wav)
啊 yes嗯其实  (G0004_S0001_0_SPK007-1426.580-1430.050.wav)
 i want  (G0004_S0001_0_SPK007-1430.450-1431.547.wav)
嗯 very see啊雪看雪  (G0004_S0001_0_SPK007-1431.890-1436.355.wav)
嗯因为就是  (G0004_S0001_0_SPK007-1437.770-1439.504.wav)
嗯怎么说因为算是南方人就很少看到雪就比较  (G0004_S0001_0_SPK007-1440.410-1446.833.wav)
呃 one would like哦 yes  (G0004_S0001_0_SPK007-1447.220-1449.970.wav)
对因为就是  (G0004_S0001_0_SPK007-1452.627-1454.036.wav)
嗯  (G0004_S0001_0_SPK007-1454.480-1455.100.wav)
对对对比较那个着迷  (G0004_S0001_0_SPK007-1455.980-1458.833.wav)
 fantastic  (G0004_S0001_0_SPK007-1459.490-1460.710.wav)
对反差即可  (G0004_S0001_0_SPK007-1462.280-1463.650.wav)
哦 yes  (G0004_S0001_0_SPK007-1465.550-1466.680.wav)
然后  (G0004_S0001_0_SPK007-1468.430-1469.260.wav)
嗯  (G0004_S0001_0_SPK007-1469.660-1470.580.wav)
 her perhaps  (G0004_S0001_0_SPK007-1471.040-1471.960.wav)
嗯 every girls have or  (G0004_S0001_0_SPK007-1472.420-1476.541.wav)
 clothes  (G0004_S0001_0_SPK007-1477.100-1477.896.wav)
就是那个冰雪奇缘里面有一个爱杀就是爱杀公主  (G0004_S0001_0_SPK007-1478.870-1483.750.wav)
就像一个  (G0004_S0001_0_SPK007-1484.840-1486.330.wav)
啊 clothes  (G0004_S0001_0_SPK007-1486.880-1488.130.wav)
对  (G0004_S0001_0_SPK007-1496.717-1497.196.wav)
 right  (G0004_S0001_0_SPK007-1497.631-1498.262.wav)
嗯那个  (G0004_S0001_0_SPK007-1504.383-1506.100.wav)
 die di烟 tall  (G0004_S0001_0_SPK007-1506.657-1509.007.wav)
你去过吗  (G0004_S0001_0_SPK007-1510.190-1511.141.wav)
哦 yes  (G0004_S0001_0_SPK007-1519.610-1520.530.wav)
 right  (G0004_S0001_0_SPK007-1520.930-1521.670.wav)
哦  (G0004_S0001_0_SPK007-1537.010-1537.630.wav)
 e s就是那个  (G0004_S0001_0_SPK007-1538.030-1541.251.wav)
嗯孙悟空骑天大胜就是拍那个大话西游摸尾  (G0004_S0001_0_SPK007-1541.540-1546.103.wav)
的地点然后那边有个背景  (G0004_S0001_0_SPK007-1546.610-1549.780.wav)
嗯也是 very nice  (G0004_S0001_0_SPK007-1550.180-1552.150.wav)
呃先  (G0004_S0001_0_SPK007-1556.150-1558.030.wav)
 service  (G0004_S0001_0_SPK007-1558.670-1559.560.wav)
哦  (G0004_S0001_0_SPK007-1563.500-1564.210.wav)
 oh yes i remember  (G0004_S0001_0_SPK007-1575.890-1577.920.wav)
嗯 but i don't go  (G0004_S0001_0_SPK007-1579.010-1581.950.wav)
哦  (G0004_S0001_0_SPK007-1609.820-1610.770.wav)
 yes  (G0004_S0001_0_SPK007-1611.560-1612.240.wav)
嗯 this this is  (G0004_S0001_0_SPK007-1612.550-1615.000.wav)
哦也  (G0004_S0001_0_SPK007-1617.620-1618.780.wav)
嗯 whereze  (G0004_S0001_0_SPK007-1619.450-1620.850.wav)
嗯  (G0004_S0001_0_SPK007-1622.600-1623.400.wav)
除了这些然后你还去过 you travel  (G0004_S0001_0_SPK007-1625.570-1630.064.wav)
嗯哪些地方呢  (G0004_S0001_0_SPK007-1630.488-1632.010.wav)
好我先  (G0004_S0001_0_SPK007-1684.291-1685.560.wav)
哦  (G0004_S0001_0_SPK007-1705.910-1706.650.wav)
诶我突然就是 remember  (G0004_S0001_0_SPK007-1707.590-1710.370.wav)
嗯  (G0004_S0001_0_SPK007-1710.860-1711.660.wav)
 my  (G0004_S0001_0_SPK007-1711.910-1712.950.wav)
 hang  (G0004_S0001_0_SPK007-1713.710-1714.570.wav)
 home more pronce就是四川省八中 c t  (G0004_S0001_0_SPK007-1715.060-1720.532.wav)
嗯  (G0004_S0001_0_SPK007-1721.330-1722.250.wav)
那个通姜  (G0004_S0001_0_SPK007-1723.100-1724.680.wav)
落水 river  (G0004_S0001_0_SPK007-1725.140-1726.804.wav)
 do you going  (G0004_S0001_0_SPK007-1727.360-1728.760.wav)
原格  (G0004_S0001_0_SPK007-1729.250-1730.050.wav)
 ok  (G0004_S0001_0_SPK007-1739.990-1740.940.wav)
嗯 i c  (G0004_S0001_0_SPK007-1741.310-1742.950.wav)
嗯八中 c t通章  (G0004_S0001_0_SPK007-1743.320-1747.000.wav)
墨水 river尔  (G0004_S0001_0_SPK007-1748.150-1749.610.wav)
然后那边就是  (G0004_S0001_0_SPK007-1750.190-1751.920.wav)
 yes那边是八中 c t  (G0004_S0001_0_SPK007-1752.290-1755.010.wav)
呃飞摩  (G0004_S0001_0_SPK007-1755.290-1756.510.wav)
一个  (G0004_S0001_0_SPK007-1757.000-1758.190.wav)
 cries  (G0004_S0001_0_SPK007-1758.590-1759.600.wav)
然后那边好像  (G0004_S0001_0_SPK007-1762.190-1764.100.wav)
嗯落水 river是  (G0004_S0001_0_SPK007-1764.347-1767.010.wav)
四大名著西游记然后有一个  (G0004_S0001_0_SPK007-1767.650-1771.880.wav)
嗯片段采景的地方  (G0004_S0001_0_SPK007-1772.180-1774.930.wav)
啊 yes就是  (G0004_S0001_0_SPK007-1784.060-1786.510.wav)
嗯其实也就是一些 holiday  (G0004_S0001_0_SPK007-1796.506-1799.470.wav)
嗯 some people  (G0004_S0001_0_SPK007-1799.803-1802.192.wav)
去那边  (G0004_S0001_0_SPK007-1802.690-1803.760.wav)
嗯因为  (G0004_S0001_0_SPK007-1804.280-1805.290.wav)
八中 c t嗯还是比较偏远  (G0004_S0001_0_SPK007-1805.930-1809.883.wav)
可能就是  (G0004_S0001_0_SPK007-1810.117-1811.470.wav)
交通 come don't can a land  (G0004_S0001_0_SPK007-1811.840-1815.222.wav)
哦 yes  (G0004_S0001_0_SPK007-1833.140-1833.940.wav)
对 right  (G0004_S0001_0_SPK007-1837.370-1838.680.wav)
哦 yes  (G0004_S0001_0_SPK007-1851.507-1852.840.wav)
嗯 special city呃  (G0004_S0001_0_SPK007-1853.960-1857.028.wav)
嗯比 for一个 number  (G0004_S0001_0_SPK007-1858.850-1861.150.wav)
呃望王 mountain  (G0004_S0001_0_SPK007-1862.540-1865.027.wav)
嗯  (G0004_S0001_0_SPK007-1865.450-1866.160.wav)
 do you remember  (G0004_S0001_0_SPK007-1866.440-1867.690.wav)
 are right  (G0004_S0001_0_SPK007-1885.310-1886.260.wav)
嗯  (G0004_S0001_0_SPK007-1891.580-1892.230.wav)
 death  (G0004_S0001_0_SPK007-1895.000-1895.740.wav)
白  (G0004_S0001_0_SPK007-1899.410-1900.060.wav)
 a right taller  (G0004_S0001_0_SPK007-1900.430-1902.220.wav)
 yes yes  (G0004_S0001_0_SPK007-1907.120-1908.130.wav)
嗯  (G0004_S0001_0_SPK007-1923.920-1924.510.wav)
呃呃 forga example  (G0004_S0001_0_SPK007-1930.670-1932.082.wav)
呃望王 mountain嗯好像是有一个  (G0004_S0001_0_SPK007-1933.790-1938.010.wav)
嗯古时和一个著名的将军然后  (G0004_S0001_0_SPK007-1938.650-1942.300.wav)
一个背景故事 story  (G0004_S0001_0_SPK007-1943.060-1945.480.wav)
然后好像就是他  (G0004_S0001_0_SPK007-1946.270-1949.138.wav)
啊 what  (G0004_S0001_0_SPK007-1951.940-1953.280.wav)
哦哦哦也 yes yes  (G0004_S0001_0_SPK007-1955.750-1958.172.wav)
 ok ok  (G0004_S0001_0_SPK007-1959.560-1960.372.wav)
嗯  (G0004_S0001_0_SPK007-1960.940-1961.800.wav)
嗯好像就是他就是那是一个战场然后他在那边  (G0004_S0001_0_SPK007-1962.830-1968.192.wav)
嗯等待  (G0004_S0001_0_SPK007-1968.650-1970.560.wav)
 yes  (G0004_S0001_0_SPK007-1975.160-1975.840.wav)
 s  (G0004_S0001_0_SPK007-1976.420-1977.070.wav)
 right  (G0004_S0001_0_SPK007-1977.680-1978.480.wav)
然后所以就这叫忘  (G0004_S0001_0_SPK007-1980.560-1982.800.wav)
望王 mountain腾  (G0004_S0001_0_SPK007-1983.170-1984.750.wav)
也  (G0004_S0001_0_SPK007-2003.450-2004.220.wav)
 s  (G0004_S0001_0_SPK007-2004.470-2004.970.wav)
 yes  (G0004_S0001_0_SPK007-2007.410-2007.956.wav)
嗯 i said the remember  (G0004_S0001_0_SPK007-2008.526-2010.483.wav)
嗯  (G0004_S0001_0_SPK007-2010.830-2011.720.wav)
呃 my  (G0004_S0001_0_SPK007-2012.840-2014.210.wav)
郭就是我的母校然后不是在那个  (G0004_S0001_0_SPK007-2015.240-2021.097.wav)
查骑 mountain吗  (G0004_S0001_0_SPK007-2021.780-2023.412.wav)
然后我好像也是有一个  (G0004_S0001_0_SPK007-2023.706-2026.186.wav)
嗯古时候的故事好像说的是  (G0004_S0001_0_SPK007-2027.030-2029.552.wav)
那个张飞节  (G0004_S0001_0_SPK007-2029.857-2031.310.wav)
啊 yes什 right  (G0004_S0001_0_SPK007-2031.800-2033.590.wav)
瓦特  (G0004_S0001_0_SPK007-2034.470-2035.150.wav)
哦 yes yes  (G0004_S0001_0_SPK007-2039.120-2040.220.wav)
 about车张飞  (G0004_S0001_0_SPK007-2042.180-2043.700.wav)
 generous  (G0004_S0001_0_SPK007-2044.100-2045.140.wav)
然后插其在一个  (G0004_S0001_0_SPK007-2045.900-2049.333.wav)
嗯石头石头上所以嗯那那个地方就取名为茶棋 mountain  (G0004_S0001_0_SPK007-2049.770-2057.500.wav)
 yes  (G0004_S0001_0_SPK007-2059.760-2060.500.wav)
左右人们班  (G0004_S0001_0_SPK007-2061.020-2062.239.wav)
啊  (G0004_S0001_0_SPK007-2074.010-2074.690.wav)
哦这个 he sto  (G0004_S0001_0_SPK007-2075.300-2077.300.wav)
哦哦  (G0004_S0001_0_SPK007-2078.870-2080.382.wav)
我那时候我也是听我的 glass  (G0004_S0001_0_SPK007-2081.717-2085.340.wav)
 classmate  (G0004_S0001_0_SPK007-2085.770-2086.900.wav)
嗯说的  (G0004_S0001_0_SPK007-2087.960-2089.330.wav)
哦  (G0004_S0001_0_SPK007-2094.500-2095.210.wav)
 ok ok然后  (G0004_S0001_0_SPK007-2101.010-2103.160.wav)
嗯 have chess  (G0004_S0001_0_SPK007-2104.160-2105.980.wav)
嗯在一起  (G0004_S0001_0_SPK007-2106.620-2108.920.wav)
呃 c  (G0004_S0001_0_SPK007-2110.160-2111.500.wav)
 ok ok goodbye  (G0004_S0001_0_SPK007-2113.310-2115.100.wav)
呃  (G0004_S0002_0_SPK001-4.837-5.590.wav)
北京  (G0004_S0002_0_SPK001-6.182-7.181.wav)
爱数智慧语音采集我们现在聊的是第二个话题运动  (G0004_S0002_0_SPK001-7.449-13.240.wav)
嗨  (G0004_S0002_0_SPK001-23.727-24.160.wav)
好的嗨  (G0004_S0002_0_SPK001-25.634-26.260.wav)
平时都  (G0004_S0002_0_SPK001-27.727-28.870.wav)
嗯  (G0004_S0002_0_SPK001-29.240-29.765.wav)
喜欢做哪些 play呀跟运动啊  (G0004_S0002_0_SPK001-31.220-35.530.wav)
我职业  (G0004_S0002_0_SPK001-38.480-39.427.wav)
把  (G0004_S0002_0_SPK001-45.620-46.150.wav)
啊有歌  (G0004_S0002_0_SPK001-51.020-51.820.wav)
哦我是  (G0004_S0002_0_SPK001-60.380-60.910.wav)
哦没事儿没事儿  (G0004_S0002_0_SPK001-64.400-66.040.wav)
我说你继续你刚才说到你 basketball是吧  (G0004_S0002_0_SPK001-71.960-77.050.wav)
哦然后呢  (G0004_S0002_0_SPK001-80.240-81.490.wav)
哦 running  (G0004_S0002_0_SPK001-89.990-91.720.wav)
不起  (G0004_S0002_0_SPK001-97.760-98.650.wav)
对你  (G0004_S0002_0_SPK001-99.230-99.820.wav)
耶  (G0004_S0002_0_SPK001-110.150-111.167.wav)
哇我内映到你一个女孩子还  (G0004_S0002_0_SPK001-112.188-115.475.wav)
还会 play play basketball非常的非常的mazing感到  (G0004_S0002_0_SPK001-115.902-122.700.wav)
这样就要强壮的身体是吧  (G0004_S0002_0_SPK001-139.520-141.594.wav)
哦我平常  (G0004_S0002_0_SPK001-145.016-146.170.wav)
哦 yes对 exercise your body  (G0004_S0002_0_SPK001-153.200-156.820.wav)
然后  (G0004_S0002_0_SPK001-157.160-157.893.wav)
在这方面这样就会呃让你少生病嘛然后  (G0004_S0002_0_SPK001-158.510-164.350.wav)
我平常也会诶对一些  (G0004_S0002_0_SPK001-165.530-169.480.wav)
 thisports have with my friends是吗  (G0004_S0002_0_SPK001-170.090-173.800.wav)
然后呃 such  (G0004_S0002_0_SPK001-174.110-176.672.wav)
呃 play p pong p po  (G0004_S0002_0_SPK001-177.320-180.580.wav)
嗯或者 are a some people play basketball  (G0004_S0002_0_SPK001-181.070-187.600.wav)
嗯  (G0004_S0002_0_SPK001-188.090-188.696.wav)
然后 play  (G0004_S0002_0_SPK001-190.130-191.350.wav)
这些  (G0004_S0002_0_SPK001-191.810-192.813.wav)
 of yes还是 i  (G0004_S0002_0_SPK001-194.357-195.910.wav)
 a  (G0004_S0002_0_SPK001-196.340-197.110.wav)
 i like running to我也喜欢跑步 with my roommate  (G0004_S0002_0_SPK001-197.390-203.800.wav)
和我的室友们  (G0004_S0002_0_SPK001-204.950-206.410.wav)
哦  (G0004_S0002_0_SPK001-211.070-211.900.wav)
你平常  (G0004_S0002_0_SPK001-212.240-213.340.wav)
你平常 play basketball都在哪儿啊和和哪和你的 f  (G0004_S0002_0_SPK001-214.130-220.178.wav)
好还是和谁呀  (G0004_S0002_0_SPK001-220.847-222.660.wav)
 wow  (G0004_S0002_0_SPK001-236.840-238.030.wav)
 ask窟  (G0004_S0002_0_SPK001-238.580-239.830.wav)
有  (G0004_S0002_0_SPK001-241.326-242.209.wav)
 yes  (G0004_S0002_0_SPK001-247.790-248.890.wav)
呃很多很多呃在在 school的时候有很多 girl  (G0004_S0002_0_SPK001-249.560-256.870.wav)
都喜欢那些 play play basketball the co boy  (G0004_S0002_0_SPK001-256.970-262.330.wav)
那你和你有相同的 happy的 ho的人一起  (G0004_S0002_0_SPK001-265.850-271.540.wav)
诶 together一起呃做一些就像 sports the play sports  (G0004_S0002_0_SPK001-272.060-278.890.wav)
还是 very good呀  (G0004_S0002_0_SPK001-279.110-281.775.wav)
这样才会才不会感到啊才不会使用 a alone  (G0004_S0002_0_SPK001-294.380-299.950.wav)
 yes  (G0004_S0002_0_SPK001-309.406-310.180.wav)
呃  (G0004_S0002_0_SPK001-310.760-311.560.wav)
呃大家一起呃 together才会呃显得一  (G0004_S0002_0_SPK001-312.440-317.242.wav)
才会更加妥显的有青春活力对吧  (G0004_S0002_0_SPK001-317.900-324.280.wav)
哦  (G0004_S0002_0_SPK001-333.054-333.422.wav)
哎 yes嗯他是我之前  (G0004_S0002_0_SPK001-353.660-357.723.wav)
呃陪乒乓我也还已经很久没有打乒乓乒乓球了  (G0004_S0002_0_SPK001-358.190-365.260.wav)
哦是在我的  (G0004_S0002_0_SPK001-365.600-367.480.wav)
